CLASS;NOAA_AR;HARPNUM;date_time;Max;;;;
X1;11748; 2748;2013-05-13 02:12:00 ;0217;;;;
X1;12158;0;2014-09-10 17:48:00;1745;;;;
X8;12673;7115;2017-09-10 16:12:00;1606;;;;
M1;11149;345;2011-01-28 00:48:00;0103;;;;
M1;11302;892.0;2011-09-21 12:24:00;1223;;;;
M1;11302;892.0;2011-09-28 13:24:00;1328;;;;
M1;11432;1321.0;2012-01-18 19:12:00;1912;;;;
M1;11432;1461.0;2012-03-15 07:48:00;0752;;;;
M1;11476;1638.0;2012-05-05 13:24:00;1323;;;;
M1;11476;1638.0;2012-05-05 23:00:00;2301;;;;
M1;11504;1750.0;2012-06-13 13:12:00;1317;;;;
M2;11515;1807.0;2012-07-06 01:36:00;0140;;;;
M2;11548;1946.0;2012-08-17 13:24:00;1319;;;;
M1;11548;1946.0;2012-08-17 17:24:00;1720;;;;
M5;11598;2137.0;2012-10-22 18:48:00;1851;;;;
M1;11686;2519.0;2013-03-05 08:00:00;0754;;;;
M3;11745;2739.0;2013-05-10 00:48:00;0057;;;;
M1;11748;2748.0;2013-05-12 20:36:00;2032;;;;
M1;11748;2748.0;2013-05-12 22:48:00;2244;;;;
M1;11893;3364.0;2013-11-21 11:12:00;1111;;;;
M6;11967;3686.0;2014-01-30 16:12:00;1611;;;;
M2;11974;3721.0;2014-02-12 15:48:00;1551;;;;
M1;11996;3813.0;2014-03-13 19:24:00;1919;;;;
M3;12149;0;2014-08-21 13:36:00;1331;;;;
M1;12149;0;2014-08-22 06:24:00;0628;;;;
M5;12151;0;2014-08-24 12:12:00;1217;;;;
M2;12146;0;2014-08-25 15:12:00;1511;;;;
M3;12146;0;2014-08-25 20:24:00;2021;;;;
M2;12155;0;2014-09-03 14:00:00;1354;;;;
M1;12157;0;2014-09-06 17:12:00;1709;;;;
M4;12158;0;2014-09-08 00:24:00;0029;;;;
M2;12166;0;2014-09-11 15:24:00;1526;;;;
M1;12166;0;2014-09-11 21:24:00;2126;;;;
M1;12157;0;2014-09-14 02:12:00;0216;;;;
M1;12169;0;2014-09-18 08:36:00;0841;;;;
M2;12172;0;2014-09-23 23:12:00;2316;;;;
M5;12173;0;2014-09-28 03:00:00;0258;;;;
M1;12173;0;2014-09-28 17:36:00;1733;;;;
M1;12172;0;2014-10-02 17:48:00;1744;;;;
M7;12173;0;2014-10-02 19:00:00;1901;;;;
M2;12205;4781.0;2014-11-03 11:48:00;1153;;;;
M1;12277;5127.0;2015-01-28 21:36:00;2137;;;;
M1;12290;5233.0;2015-03-02 06:36:00;0639;;;;
M1;12290;5233.0;2015-03-02 09:48:00;0948;;;;
M3;12290;5233.0;2015-03-02 15:24:00;1528;;;;
M4;12290;5233.0;2015-03-02 19:36:00;1931;;;;
M8;12290;5233.0;2015-03-03 01:36:00;0135;;;;
M1;12297;5298.0;2015-03-05 18:12:00;1811;;;;
M1;12297;5298.0;2015-03-06 08:12:00;0815;;;;
M1;12297;5298.0;2015-03-11 07:24:00;0718;;;;
M2;12297;5298.0;2015-03-11 08:00:00;0757;;;;
M1;12322;5446.0;2015-04-22 08:48:00;0844;;;;
M1;12322;5446.0;2015-04-23 10:12:00;1007;;;;
M1;12422;5983.0;2015-10-04 02:36:00;0241;;;;
M2;12472;6205.0;2015-12-21 00:48:00;0103;;;;
M3;12673;7115.0;2017-09-05 06:36:00;0640;;;;
M8;12673;7115.0;2017-09-08 07:48:00;0749;;;;
M1;12838;0;2021-07-04 05:12:00;0509;;;;
M2;12891;0;2021-11-09 17:00:00;1702;;;;
M1;12898;0;2021-12-05 07:24:00;0719;;;;
M1;12908;0;2021-12-20 11:36:00;1136;;;;
M1;12916;0;2021-12-21 07:48:00;0750;;;;
M1;12908;0;2021-12-22 07:12:00;0706;;;;
