AR,HARP
11063,11
11064,2
11066,10
11067,1
11068,12
11069,8
11072,26
11075,40
11076,43
11077,45
11078,46
11079,49
11080,51
11081,54
11082,57
11084,71
11086,83
11087,86
11089,92
11092,104
11093,115
11094,107
11095,114
11096,116
11097,128
11098,131
11099,115
11100,135
11101,145
11102,146
11103,155
11105,156
11106,175
11107,182
11108,185
11109,187
11110,190
11111,198
11112,211
11113,218
11115,220
11117,226
11119,224
11120,241
11121,245
11123,245
11124,252
11125,252
11126,256
11127,259
11128,270
11129,273
11130,274
11131,279
11132,285
11133,284
11134,284
11135,297
11138,318
11139,321
11140,323
11141,325
11142,327
11145,338
11146,342
11147,345
11149,345
11150,355
11152,361
11153,362
11156,367
11157,364
11158,377
11159,371
11160,384
11161,384
11162,384
11163,392
11164,393
11165,394
11166,401
11169,407
11170,414
11171,415
11172,421
11173,429
11175,421
11176,437
11178,437
11180,444
11181,443
11183,451
11184,466
11185,480
11186,480
11190,495
11191,504
11193,504
11195,514
11196,514
11199,540
11200,538
11201,532
11202,536
11203,556
11204,556
11206,572
11208,587
11210,580
11213,597
11214,602
11216,605
11217,602
11218,610
11220,618
11223,625
11224,622
11226,637
11227,637
11228,639
11229,643
11232,650
11234,661
11235,662
11236,667
11237,674
11239,676
11240,674
11241,681
11242,686
11243,685
11244,684
11245,700
11247,695
11249,702
11254,725
11255,714
11257,705
11259,740
11260,746
11261,750
11262,744
11263,753
11265,748
11266,759
11267,764
11269,772
11271,794
11272,798
11274,803
11275,805
11277,814
11279,814
11281,824
11283,833
11286,814
11287,843
11289,847
11290,850
11291,851
11292,853
11295,856
11296,856
11297,869
11301,878
11302,892
11303,899
11305,902
11307,909
11309,918
11312,927
11313,932
11314,940
11315,927
11316,950
11317,948
11318,956
11319,940
11321,975
11324,976
11325,976
11330,997
11333,997
11334,1021
11338,1026
11339,1028
11341,1041
11342,1041
11344,1026
11346,1066
11347,1075
11348,1028
11352,1089
11353,1093
11354,1092
11355,1093
11356,1093
11357,1080
11358,1113
11359,1090
